"","Ticker","종목명","현재가","전일비","등락률","액면가","거래량","상장주식수","시가총액","매출액","자산총계","부채총계","영업이익","당기순이익","주당순이익","보통주배당금","매출액증가율","영업이익증가율","외국인비율","PER","ROE","ROA","PBR","유보율","market"
"1","005930","삼성전자","45,050","300","+0.67%","100","17,598,082","5,969,783","2,689,387","2,395,754","3,017,521","872,607","536,450","421,867","5,421","850","18.68","83.46",56.23,"8.31","21.01","14.96","1.48","24,536.1","KS"
"2","000660","SK하이닉스","71,800","2,800","-3.75%","5,000","4,894,715","728,002","522,706","301,094","454,185","115,975","137,213","106,422","14,617","1,000","75.08","318.75",49.9,"4.91","36.80","27.42","1.50","859.3","KS"
"4","005380","현대차","126,500","2,000","-1.56%","5,000","540,810","213,668","270,290","963,761","1,781,995","1,034,421","45,747","45,464","14,127","4,000","2.91","-11.92",45.43,"8.95","5.92","2.55","0.49","4,804.2","KS"
"5","207940","삼성바이오로직스","402,000","1,000","-0.25%","2,500","120,461","66,165","265,983","4,646","71,831","32,066","660","-970","-1,466","N/A","57.70","316.88",8.65,"-274.22","-2.41","-1.32","6.69","2,306.4","KS"
"6","068270","셀트리온","211,000","2,500","+1.20%","1,000","833,041","125,456","264,712","9,491","34,587","8,871","5,220","4,007","3,132","19","41.53","109.06",19.88,"67.37","17.84","12.37","11.05","1,893.8","KS"
"7","051910","LG화학","374,500","1,000","+0.27%","5,000","168,296","70,592","264,368","256,980","250,412","87,026","29,285","20,220","24,854","6,000","24.39","47.02",38.04,"15.07","12.92","8.88","1.77","4,168.0","KS"
"8","005490","POSCO","269,000","1,000","+0.37%","5,000","247,462","87,187","234,533","606,551","790,250","315,610","46,218","29,735","32,001","8,000","14.26","62.49",54.6,"8.41","6.48","3.75","0.49","9,218.3","KS"
"9","028260","삼성물산","118,000","500","+0.43%","100","260,286","189,690","223,834","292,790","490,489","238,977","8,813","4,811","3,344","2,000","4.19","531.62",13.86,"35.29","3.13","1.03","0.86","84,799.7","KS"
"10","017670","SK텔레콤","272,500","3,500","+1.30%","500","151,794","80,746","220,032","175,200","334,287","153,995","15,366","26,576","32,198","10,000","2.51","0.06",41.64,"8.46","15.38","8.21","1.08","46,488.1","KS"
"11","035420","NAVER","132,000","2,000","+1.54%","100","283,335","164,813","217,554","46,785","80,193","27,141","11,792","7,701","4,689","289","16.30","7.00",59.7,"28.15","18.50","10.70","4.07","36,789.5","KS"
"12","012330","현대모비스","217,500","9,000","+4.32%","5,000","459,758","97,344","211,723","351,446","417,368","123,779","20,249","15,577","16,109","3,500","-8.15","-30.29",47.08,"13.50","5.43","3.73","0.70","6,146.9","KS"
"13","015760","한국전력","32,800","250","-0.76%","5,000","1,027,099","641,964","210,564","598,149","1,817,889","1,088,243","49,532","14,414","2,023","790","-0.62","-58.73",28.52,"16.21","1.81","0.80","0.29","1,727.5","KS"
"14","055550","신한지주","42,350","150","+0.36%","5,000","986,379","474,200","200,824","240,090","4,263,057","3,926,031","38,287","29,481","6,153","1,450","7.72","23.16",67.21,"6.88","9.13","0.72","0.61","1,174.2","KS"
"15","105560","KB금융","45,800","500","-1.08%","5,000","1,173,063","418,112","191,495","392,293","4,367,856","4,027,408","40,153","33,435","7,920","1,920","54.72","139.44",68.64,"5.78","10.18","0.82","0.54","1,564.7","KS"
"16","051900","LG생활건강","1,201,000","2,000","-0.17%","5,000","26,709","15,618","187,575","62,705","47,780","16,954","9,303","6,185","34,240","9,000","2.90","5.61",45.42,"35.08","21.94","13.33","6.71","3,547.0","KS"
"17","032830","삼성생명","93,100","600","+0.65%","500","256,891","200,000","186,200","319,590","2,827,138","2,515,922","16,906","12,632","5,831","2,000","5.03","71.37",16.43,"15.97","4.51","0.46","0.57","33,131.9","KS"
"18","034730","SK","263,000","4,000","-1.50%","200","113,293","70,360","185,048","932,964","1,097,769","640,205","58,610","50,665","23,650","4,000","12.77","10.62",26.41,"11.12","12.53","4.76","1.09","96,552.4","KS"
"19","018260","삼성에스디에스","220,500","3,000","+1.38%","500","99,366","77,378","170,618","92,992","72,778","15,583","7,316","5,418","6,854","2,000","13.68","16.66",12.36,"32.17","9.91","7.67","3.07","14,589.5","KS"
"20","096770","SK이노베이션","181,000","4,500","-2.43%","5,000","263,949","92,466","167,363","462,609","342,436","149,343","32,344","21,451","22,449","8,000","17.06","0.19",37.91,"8.06","11.96","6.42","0.93","3,800.4","KS"
"21","006400","삼성SDI","232,000","500","-0.22%","5,000","729,674","68,765","159,534","63,216","157,515","42,995","1,169","6,432","9,338","1,000","21.55","112.62",39.06,"24.84","5.98","4.20","1.38","2,983.7","KS"
"22","000270","기아차","34,850","900","-2.52%","5,000","1,274,121","405,363","141,269","535,357","522,944","254,333","6,622","9,680","2,388","800","1.56","-73.10",41.29,"14.59","3.62","1.88","0.52","1,205.5","KS"
"23","033780","KT&G","99,600","1,400","-1.39%","5,000","343,962","137,292","136,743","46,672","99,759","21,461","14,261","11,642","8,476","4,000","3.64","-2.99",51.93,"11.75","15.71","11.77","1.62","757.0","KS"
"24","003550","LG","77,100","0","0.00%","5,000","202,032","172,557","133,042","118,411","216,477","54,682","21,858","24,356","13,623","1,300","22.40","62.55",34.58,"5.66","16.04","11.84","0.85","1,748.5","KS"
"25","000810","삼성화재","271,500","3,000","-1.09%","500","63,638","47,375","128,623","220,236","759,077","639,797","11,388","9,689","19,109","10,000","1.56","6.32",49.76,"14.21","8.46","1.34","0.97","50,560.2","KS"
"26","086790","하나금융지주","38,100","250","-0.65%","5,000","677,977","300,242","114,392","391,526","3,600,893","3,352,614","27,181","21,166","6,881","1,550","13.16","68.40",70.25,"5.54","8.79","0.60","0.47","1,577.5","KS"
"27","010950","S-Oil","99,000","400","-0.40%","2,500","242,126","112,583","111,457","208,914","150,875","82,448","13,733","12,465","10,690","5,900","28.00","-15.07",78.65,"9.26","18.84","8.58","1.68","2,239.9","KS"
"28","066570","LG전자","67,700","1,800","-2.59%","5,000","806,397","163,648","110,790","613,963","412,210","265,473","24,685","18,695","9,543","400","10.89","84.53",30.8,"7.09","13.69","4.73","0.92","1,535.9","KS"
"29","090430","아모레퍼시픽","180,000","1,000","-0.55%","500","201,832","58,458","105,225","51,238","53,757","12,003","5,964","3,980","5,709","1,280","-9.24","-29.68",33.21,"31.53","9.81","7.54","2.99","12,104.3","KS"
"30","011170","롯데케미칼","304,500","6,000","+2.01%","5,000","181,346","34,275","104,369","158,745","195,510","72,962","29,297","22,846","65,466","10,500","20.05","15.15",31.52,"4.65","21.52","12.90","0.91","6,688.7","KS"
"31","036570","엔씨소프트","463,500","3,500","-0.75%","500","103,200","21,939","101,687","17,587","35,266","7,973","5,850","4,440","20,104","7,280","78.81","77.95",49.28,"23.06","19.14","15.09","3.62","21,318.4","KS"
"32","009540","현대중공업","142,500","3,500","+2.52%","5,000","376,265","70,773","100,852","154,688","304,088","180,368","146","26,931","37,625","0","-30.63","-99.11",16.66,"3.79","18.17","6.79","0.77","6,101.4","KS"
"33","000030","우리은행","14,800","0","0.00%","5,000","0","676,000","100,048","236,730","3,162,955","2,957,306","21,567","15,301","2,237","600","0.72","37.01",27.65,"6.62","7.42","0.49","0.49","509.2","KS"
"34","251270","넷마블","111,500","1,500","+1.36%","100","171,935","85,266","95,072","24,248","53,477","8,824","5,098","3,609","3,898","360","61.65","72.99",24.69,"28.60","11.17","9.88","2.19","52,277.8","KS"
"35","035720","카카오","102,000","500","-0.49%","500","275,077","83,388","85,056","19,723","63,494","18,416","1,654","1,251","1,602","148","34.70","42.40",24.27,"63.67","2.91","2.11","1.72","11,781.3","KS"
"37","010130","고려아연","425,000","2,500","-0.58%","5,000","29,266","18,870","80,198","65,967","70,381","9,325","8,948","6,340","33,336","10,000","12.81","17.01",22.49,"12.75","10.96","9.38","1.26","6,187.4","KS"
"38","009150","삼성전기","106,000","3,500","-3.20%","5,000","1,702,572","74,694","79,175","68,385","77,674","34,359","3,062","1,773","2,084","750","13.35","1,154.96",21.56,"50.86","3.82","2.30","1.89","942.0","KS"
"39","024110","기업은행","13,850","50","-0.36%","5,000","660,352","559,979","77,557","168,009","2,740,697","2,542,680","20,283","15,085","2,282","617","9.97","32.35",23.69,"6.07","7.98","0.57","0.46","501.9","KS"
"40","030200","KT","29,300","50","+0.17%","5,000","480,099","261,112","76,506","233,873","295,806","165,043","13,753","5,615","1,826","1,000","2.83","-4.49",49,"16.05","4.12","1.87","0.61","722.0","KS"
"41","032640","LG유플러스","16,850","150","+0.90%","5,000","1,195,855","436,611","73,569","122,794","119,355","67,025","8,263","5,471","1,253","400","7.23","10.69",41.78,"13.45","10.88","4.57","1.41","103.2","KS"
"42","034220","LG디스플레이","20,150","150","-0.74%","5,000","1,548,836","357,816","72,100","277,902","291,597","141,782","24,616","19,371","5,038","500","4.85","87.71",24.85,"4.00","13.19","7.17","0.50","719.5","KS"
"43","035250","강원랜드","33,050","150","+0.46%","500","263,601","213,940","70,707","16,045","41,857","6,844","5,309","4,375","2,045","990","-5.43","-14.18",27.75,"16.16","12.96","10.72","1.91","3,335.7","KS"
"44","000720","현대건설","62,100","300","-0.48%","5,000","592,554","111,356","69,152","168,871","184,319","99,590","9,861","3,716","1,810","500","-10.29","-14.92",26.1,"34.31","3.15","1.94","1.07","1,049.0","KS"
"45","004020","현대제철","50,300","600","-1.18%","5,000","576,893","133,446","67,123","191,660","333,738","163,383","13,676","7,275","5,366","750","14.83","-5.36",25.91,"9.37","4.35","2.21","0.40","2,276.9","KS"
"46","018880","한온시스템","12,450","150","+1.22%","100","945,659","533,800","66,458","55,857","41,196","20,881","4,684","2,984","541","305","-2.07","10.86",18.32,"23.01","15.16","7.48","3.36","3,843.1","KS"
"47","267250","현대중공업지주","379,500","14,000","+3.83%","5,000","104,076","16,287","61,808","142,995","208,886","107,867","8,430","10,130","86,646","N/A","N/A","N/A",21.31,"4.38","N/A","N/A","0.74","9,481.9","KS"
"48","021240","코웨이","82,800","2,500","+3.11%","500","151,180","73,800","61,106","25,168","21,589","11,766","4,727","3,256","4,328","3,200","5.91","39.54",62.54,"19.13","30.12","15.78","6.08","2,686.4","KS"
"49","023530","롯데쇼핑","195,000","0","0.00%","5,000","78,207","28,289","55,163","181,799","279,485","145,971","5,299","-206","-4,437","5,200","-24.61","-43.65",20.91,"-43.95","-0.94","-0.06","0.43","10,835.6","KS"
"50","004990","롯데지주","51,700","100","+0.19%","200","112,075","104,909","54,238","23,760","218,971","144,072","102","4,953","10,602","0","5.68","-92.00",13.81,"4.88","10.96","3.83","0.51","50,440.0","KS"
"51","002790","아모레G","65,700","800","-1.20%","500","150,931","82,458","54,175","60,291","73,352","14,033","7,315","4,895","2,279","360","-9.98","-32.45",20.93,"28.83","6.95","6.79","1.83","7,014.9","KS"
"52","139480","이마트","191,000","2,000","-1.04%","5,000","71,671","27,876","53,243","158,767","160,665","72,951","5,669","6,279","22,101","1,750","8.63","3.67",48.75,"8.64","7.73","3.99","0.65","4,808.4","KS"
"53","010140","삼성중공업","8,390","400","+5.01%","5,000","11,894,691","630,000","52,857","79,012","138,181","80,207","-5,242","-3,407","-766","0","-24.13","-256.09",17.89,"-10.95","-5.62","-2.20","0.60","202.8","KS"
"54","086280","현대글로비스","138,000","500","-0.36%","500","105,886","37,500","51,750","163,583","81,857","41,961","7,271","6,805","18,147","3,000","6.63","-0.24",32.8,"7.60","18.23","8.43","1.30","21,106.0","KS"
"55","161390","한국타이어","41,650","500","+1.22%","500","143,672","123,875","51,594","68,129","95,188","31,453","7,934","6,065","4,836","400","2.89","-28.08",41.02,"8.61","9.74","6.34","0.81","10,514.5","KS"
"56","128940","한미약품","432,500","500","+0.12%","2,500","29,290","11,612","50,223","9,166","16,609","8,685","822","690","5,204","481","3.84","206.90",13.35,"83.11","8.82","4.23","7.03","2,510.9","KS"
"57","097950","CJ제일제당","333,000","2,500","-0.75%","5,000","41,391","15,054","50,130","164,772","168,681","107,243","7,766","4,128","25,536","3,000","13.14","-7.95",20.44,"13.04","10.91","2.53","1.40","5,285.9","KS"
"58","036460","한국가스공사","53,000","400","+0.76%","5,000","126,823","92,313","48,926","221,723","371,394","289,990","10,339","-11,917","-13,055","N/A","5.04","12.67",15.6,"-4.06","-14.03","-3.09","0.59","1,283.9","KS"
"59","006800","미래에셋대우","7,400","120","-1.60%","5,000","1,536,589","658,316","48,715","102,986","906,266","832,421","6,278","5,049","740","220","31.46","19,698.63",12.77,"10.00","7.19","0.68","0.57","118.9","KS"
"60","078930","GS","52,400","200","-0.38%","5,000","128,811","92,915","48,688","162,099","220,037","123,411","20,712","10,919","10,414","1,800","20.41","18.07",21.77,"5.03","13.42","5.16","0.64","2,190.7","KS"
"61","005830","DB손해보험","68,200","500","+0.74%","500","91,859","70,800","48,286","178,553","483,756","435,426","8,679","6,692","9,338","2,300","4.62","19.53",47.41,"7.30","15.21","1.44","0.93","13,636.3","KS"
"62","008930","한미사이언스","73,900","400","-0.54%","500","34,646","64,743","47,845","6,523","9,388","2,736","391","308","464","192","-1.95","36.37",5.01,"159.27","4.59","3.23","7.05","2,134.2","KS"
"63","271560","오리온","113,000","1,000","-0.88%","500","80,537","39,536","44,676","11,172","22,580","9,131","1,074","767","3,261","600","N/A","N/A",37.9,"34.65","N/A","N/A","3.41","3,411.4","KS"
"65","012750","에스원","103,500","0","0.00%","500","41,117","37,999","39,329","19,423","15,815","3,737","2,026","1,433","3,772","2,500","6.13","-1.51",55.28,"27.44","12.42","9.42","2.90","7,060.3","KS"
"66","029780","삼성카드","33,650","950","-2.75%","5,000","119,971","115,859","38,987","39,000","230,766","161,536","5,056","3,867","3,338","1,500","12.39","17.33",11.5,"10.08","5.71","1.72","0.53","1,074.7","KS"
"67","042660","대우조선해양","35,950","1,400","+4.05%","5,000","938,922","107,206","38,540","111,018","114,468","84,561","7,330","6,458","7,447","N/A","-13.40","147.88",11.11,"4.83","28.12","4.87","1.13","-7.0","KS"
"68","005940","NH투자증권","13,650","150","-1.09%","5,000","633,914","281,409","38,412","95,455","438,927","390,565","4,592","3,496","1,166","500","7.96","52.08",14.33,"11.71","7.40","0.81","0.85","217.2","KS"
"69","000120","CJ대한통운","166,500","500","-0.30%","5,000","57,968","22,812","37,983","71,104","63,089","35,262","2,357","389","1,380","N/A","16.91","3.16",15.7,"120.65","1.34","0.66","1.24","2,474.0","KS"
"70","088350","한화생명","4,290","20","-0.46%","5,000","952,515","868,530","37,260","260,871","1,259,945","1,157,564","9,534","6,887","673","140","26.23","83.01",17.85,"6.37","7.70","0.56","0.34","157.0","KS"
"71","006360","GS건설","46,500","900","-1.90%","5,000","312,609","79,436","36,938","116,795","136,966","104,569","3,187","-1,637","-2,359","300","5.83","122.88",28,"-19.71","-5.22","-1.21","1.03","826.4","KS"
