"","Ticker","Name","End Price","EPS","PER","BPS","PBR","Dividend Yield Ratio"
"1","036810","에프에스티",5460,"624","8.75","4,088","1.34",1.47
"2","043100","솔고바이오",446,"-","-","366","1.22",0
"3","083640","인콘",1270,"8","158.75","382","3.32",0
"4","097520","엠씨넥스",14700,"-","-","5,920","2.48",1.77
"5","101000","디엠씨",1575,"-","-","1,602","0.98",0
"6","198440","고려시멘트",3820,"37","103.24","2,539","1.5",1.44
"7","225530","보광산업",6280,"265","23.7","1,698","3.7",2.63
"8","263700","케어랩스",19900,"1,095","18.17","5,059","3.93",0
"9","048530","인트론바이오",19350,"-","-","1,334","14.51",0
"10","078160","메디포스트",78600,"-","-","18,002","4.37",0
"11","195440","퓨전데이타",1660,"-","-","412","4.03",0
"12","121800","비덴트",6600,"3,119","2.12","6,005","1.1",0
"13","046940","우원개발",5590,"-","-","4,023","1.39",1.79
"14","180400","캔서롭",7230,"-","-","1,738","4.16",0
"15","220180","핸디소프트",8910,"-","-","4,280","2.08",0
"16","039230","에이아이비트",1050,"-","-","419","2.51",0
"17","016920","카스",1935,"114","16.97","1,729","1.12",1.03
"18","054220","비츠로시스",731,"-","-","1,156","0.63",0
"19","066410","버킷스튜디오",2225,"57","39.04","1,528","1.46",0
"20","082920","비츠로셀",11000,"48","229.17","4,192","2.62",0
"21","171120","라이온켐텍",9600,"211","45.5","5,866","1.64",3.13
"22","205500","액션스퀘어",2705,"-","-","540","5.01",0
"23","020180","대신정보통신",1640,"22","74.55","623","2.63",0.61
"24","033200","모아텍",4540,"114","39.82","5,148","0.88",0
"25","067010","이씨에스",4370,"447","9.78","5,763","0.76",4.58
"26","060310","3S",2480,"-","-","704","3.52",0
"27","030960","양지사",9520,"190","50.11","4,179","2.28",0.53
"28","289080","SV인베스트먼트",3910,"272","14.38","1,031","3.79",0
"29","024850","피에스엠씨",1160,"15","77.33","508","2.28",0
"30","042520","한스바이오메드",25400,"831","30.57","5,450","4.66",0.39
"31","021880","메이슨캐피탈",408,"-","-","427","0.96",0
"32","189690","포시에스",6000,"842","7.13","6,537","0.92",1.67
"33","018700","바른손",2550,"-","-","2,687","0.95",0
